인덱스	이름		맵이름	레벨	hp	최소공격력	최대공격력	크리	방어	경험치	최소골드	최대골드
0	작은 흰 거미	알비던전	1	100	10	20	3	5	100	30	60
1	낡은 미믹		알비던전	2	100	10	20	3	5	100	30	60
2	시골쥐		알비던전	3	100	10	20	3	5	100	30	60
3	시골쥐2		알비던전	3	100	10	20	3	5	100	30	60
4	Boss_거대붉은거미	알비던전	5	100	10	20	3	5	100	30	60
5	미믹		키아던전	5	100	10	20	3	5	100	30	60
6	고블린		키아던전	7	100	10	20	3	5	100	30	60
7	고블린 아처		키아던전	8	100	10	20	3	5	100	30	60
8	포이즌 고블린	키아던전	9	100	10	20	3	5	100	30	60
9	Boss_작은 골렘	키아던전	10	100	10	20	3	5	100	30	60
10	스켈레톤		라비던전	10	100	10	20	3	5	100	30	60
11	해골 늑대		라비던전	11	100	10	20	3	5	100	30	60
12	레드 스켈레톤	라비던전	13	100	10	20	3	5	100	30	60
13	메탈 스켈레톤	라비던전	15	100	10	20	3	5	100	30	60
14	Boss_검은 서큐버스	라비던전	18	100	10	20	3	5	100	30	60
15	코볼트		마스던전	18	100	10	20	3	5	100	30	60
16	코볼트 아처		마스던전	20	100	10	20	3	5	100	30	60
17	포이즌 코볼트	마스던전	23	100	10	20	3	5	100	30	60
18	거대 스켈레톤	마스던전	25	100	10	20	3	5	100	30	60
19	Boss_헬하운드	마스던전	30	100	10	20	3	5	100	30	60
20	킹 미믹		바리던전	30	100	10	20	3	5	100	30	60
21	플라잉 소드		바리던전	33	100	10	20	3	5	100	30	60
22	회색 그렘린		바리던전	35	100	10	20	3	5	100	30	60
23	고르곤		바리던전	38	100	10	20	3	5	100	30	60
24	Boss_오거전사	바리던전	40	100	10	20	3	5	100	30	60
25	우드 자칼		피오드던전	41	100	10	20	3	5	100	30	60
26	붉은 곰		피오드던전	42	100	10	20	3	5	100	30	60
27	푸른 베어울프	피오드던전	44	100	10	20	3	5	100	30	60
28	검붉은 그리즐리 베어	피오드던전	46	100	10	20	3	5	100	30	60
29	Boss_아르고스	피오드던전	50	100	10	20	3	5	100	30	60
