인덱스	스킬명	랭크	필요ap	데미지계수	소모sp
0	스매시	연습	0	1.5	30
1	스매시	F	1	2	30
2	스매시	E	4	2.1	30
3	스매시	D	7	2.2	30
4	스매시	C	10	2.3	40
5	스매시	B	14	2.4	40
6	스매시	A	19	2.5	40
7	스매시	9	30	3	50
8	스매시	8	33	3.2	50
9	스매시	7	36	3.4	50
10	스매시	6	39	3.6	50
11	스매시	5	50	4	60
12	스매시	4	60	4.2	60
13	스매시	3	70	4.4	70
14	스매시	2	80	4.6	70
15	스매시	1	100	5	80
16	파이널 히트	연습	0	1.1	80
17	파이널 히트	F	3	1.25	80
18	파이널 히트	E	7	1.4	80
19	파이널 히트	D	11	1.55	100
20	파이널 히트	C	18	1.7	100
21	파이널 히트	B	25	1.85	100
22	파이널 히트	A	32	2	100
23	파이널 히트	9	50	2.5	150
24	파이널 히트	8	60	2.7	150
25	파이널 히트	7	70	2.9	200
26	파이널 히트	6	80	3.1	200
27	파이널 히트	5	100	3.8	300
28	파이널 히트	4	120	4.3	300
29	파이널 히트	3	140	4.8	400
30	파이널 히트	2	160	5.3	500
31	파이널 히트	1	200	6	700
32	디펜스	연습	0	0.1	20
33	디펜스	F	1	0.1	20
34	디펜스	E	2	0.1	20
35	디펜스	D	3	0.2	40
36	디펜스	C	5	0.2	40
37	디펜스	B	7	0.2	40
38	디펜스	A	8	0.2	40
39	디펜스	9	11	0.4	60
40	디펜스	8	12	0.4	60
41	디펜스	7	13	0.4	60
42	디펜스	6	14	0.45	70
43	디펜스	5	17	0.5	80
44	디펜스	4	18	0.5	80
45	디펜스	3	19	0.55	90
46	디펜스	2	20	0.55	90
47	디펜스	1	25	0.6	100
